card_id,customer_id,product_id,linked_account_id,issue_year,card_status,closing_year,issue_channel
K0000001,C0000004,P009,A0000001,2020,CLOSED,2020,REMOTE_ASSISTED
K0000002,C0000004,P009,A0000002,2020,CLOSED,2020,DIGITAL
K0000003,C0000015,P009,A0000003,1998,CLOSED,1998,BRANCH
K0000004,C0000020,P009,A0000004,2015,CLOSED,2016,BRANCH
K0000005,C0000020,P009,A0000005,2016,ACTIVE,,BRANCH
K0000006,C0000020,P009,A0000006,2006,ACTIVE,,BRANCH
K0000007,C0000024,P009,A0000007,2015,CLOSED,2016,BRANCH
K0000008,C0000025,P009,A0000009,2019,CLOSED,2019,BRANCH
K0000009,C0000027,P009,A0000010,2006,CLOSED,2007,BRANCH
K0000010,C0000027,P009,A0000011,2007,CLOSED,2011,BRANCH
K0000011,C0000027,P009,A0000012,2011,CLOSED,2012,BRANCH
K0000012,C0000027,P009,A0000013,2009,CLOSED,2010,BRANCH
K0000013,C0000027,P009,A0000015,2010,CLOSED,2010,BRANCH
K0000014,C0000032,P009,A0000016,2012,CLOSED,2014,BRANCH
K0000015,C0000032,P009,A0000017,2013,CLOSED,2013,BRANCH
K0000016,C0000036,P009,A0000020,2019,ACTIVE,,BRANCH
K0000017,C0000039,P009,A0000021,1997,CLOSED,2020,BRANCH
K0000018,C0000039,P009,A0000022,2015,CLOSED,2024,BRANCH
K0000019,C0000040,P009,A0000024,2015,CLOSED,2016,BRANCH
K0000020,C0000046,P009,A0000025,1996,CLOSED,1998,BRANCH
K0000021,C0000050,P009,A0000026,2013,CLOSED,2016,BRANCH
K0000022,C0000051,P009,A0000027,2002,CLOSED,2006,BRANCH
K0000023,C0000051,P009,A0000028,2010,ACTIVE,,REMOTE_ASSISTED
K0000024,C0000052,P009,A0000029,2010,ACTIVE,,BRANCH
K0000025,C0000053,P009,A0000030,2020,ACTIVE,,DIGITAL
K0000026,C0000056,P009,A0000033,2007,ACTIVE,,BRANCH
K0000027,C0000056,P009,A0000034,2020,CLOSED,2023,BRANCH
K0000028,C0000056,P009,A0000036,2014,ACTIVE,,REMOTE_ASSISTED
K0000029,C0000056,P009,A0000038,2011,CLOSED,2022,BRANCH
K0000030,C0000056,P009,A0000039,2005,CLOSED,2015,BRANCH
K0000031,C0000056,P009,A0000041,2011,CLOSED,2018,BRANCH
K0000032,C0000061,P009,A0000043,2014,CLOSED,2022,BRANCH
K0000033,C0000061,P009,A0000044,2014,CLOSED,2022,BRANCH
K0000034,C0000062,P009,A0000045,2019,ACTIVE,,BRANCH
K0000035,C0000062,P009,A0000047,2017,ACTIVE,,BRANCH
K0000036,C0000070,P009,A0000048,2020,ACTIVE,,DIGITAL
K0000037,C0000077,P009,A0000049,2018,ACTIVE,,REMOTE_ASSISTED
K0000038,C0000077,P009,A0000050,2019,ACTIVE,,DIGITAL
K0000039,C0000080,P009,A0000051,2014,CLOSED,2018,BRANCH
K0000040,C0000082,P009,A0000052,2015,CLOSED,2022,REMOTE_ASSISTED
K0000041,C0000092,P009,A0000053,2019,ACTIVE,,DIGITAL
K0000042,C0000092,P009,A0000055,2014,ACTIVE,,BRANCH
K0000043,C0000099,P009,A0000057,1996,CLOSED,2001,BRANCH
K0000044,C0000099,P009,A0000058,2000,CLOSED,2001,BRANCH
K0000045,C0000099,P009,A0000059,2003,CLOSED,2003,BRANCH
K0000046,C0000099,P009,A0000060,2002,CLOSED,2005,BRANCH
K0000047,C0000099,P009,A0000061,2006,CLOSED,2006,BRANCH
K0000048,C0000107,P009,A0000062,2020,CLOSED,2020,BRANCH
K0000049,C0000115,P009,A0000064,1997,CLOSED,2002,BRANCH
K0000050,C0000115,P009,A0000066,1996,CLOSED,2008,BRANCH
K0000051,C0000125,P009,A0000069,2012,CLOSED,2012,REMOTE_ASSISTED
