customer_id,customer_type,first_name,last_name,company_name,nationality,document_type,document_id,birth_year,gender,residence_country,residence_department,residence_locality,primary_branch_id,registration_year,customer_status,closing_year,employment_status,monthly_income,business_sector,company_size,foundation_year,annual_revenue
C0000001,BUSINESS,,,Distribuidora Mendes,,RUT,RUT15509369778,,,URUGUAY,Paysandú,Paysandú,034,2026,ACTIVE,,,,COMMERCE,MICRO,2020,2190296.64
C0000002,INDIVIDUAL,Simón,Castro,,URUGUAY,CI,CI1994823,1974,MALE,URUGUAY,Canelones,Atlántida,020,2024,ACTIVE,,EMPLOYED,115152.31,,,,
C0000003,INDIVIDUAL,Fernando,Moreira,,URUGUAY,CI,CI5189741,1991,MALE,URUGUAY,Montevideo,Montevideo,020,2026,ACTIVE,,SELF_EMPLOYED,159036.08,,,,
C0000004,INDIVIDUAL,Gerardo,García,,URUGUAY,CI,CI3082251,1950,MALE,URUGUAY,Canelones,Las Piedras,023,2020,ACTIVE,,RETIRED,65059.84,,,,
C0000005,INDIVIDUAL,Carolina,Acosta,,URUGUAY,CI,CI3791789,1965,FEMALE,BRAZIL,,,008,1995,CLOSED,1997,RETIRED,34904.63,,,,
C0000006,INDIVIDUAL,Matías,Pereira,,URUGUAY,CI,CI5681672,1992,MALE,URUGUAY,Rocha,Castillos,025,2015,ACTIVE,,STUDENT,17275.89,,,,
C0000007,INDIVIDUAL,Nicolás,Cabrera Méndez,,URUGUAY,CI,CI2379663,1970,MALE,URUGUAY,Montevideo,Montevideo,017,2023,ACTIVE,,EMPLOYED,91253.38,,,,
C0000008,BUSINESS,,,Instituto Oriental,,RUT,RUT32399953907,,,URUGUAY,Montevideo,Montevideo,037,2021,ACTIVE,,,,HEALTH_EDUCATION,MICRO,2005,5073816.45
C0000009,INDIVIDUAL,Carlos,Viera,,URUGUAY,CI,CI1726861,1972,MALE,URUGUAY,Canelones,Ciudad de la Costa,018,2010,CLOSED,2021,SELF_EMPLOYED,99346.74,,,,
C0000010,INDIVIDUAL,Rosa,Fernández,,URUGUAY,CI,CI2663120,1952,FEMALE,URUGUAY,Montevideo,Montevideo,020,2013,ACTIVE,,RETIRED,51669.43,,,,
C0000011,INDIVIDUAL,Graciela,Silva Díaz,,URUGUAY,CI,CI2388935,1968,FEMALE,URUGUAY,Treinta y Tres,Treinta y Tres,001,2018,ACTIVE,,EMPLOYED,91108.75,,,,
C0000012,INDIVIDUAL,Raúl,Viera,,URUGUAY,CI,CI2297117,1954,MALE,URUGUAY,Montevideo,Montevideo,001,2003,CLOSED,2025,RETIRED,77141.1,,,,
C0000013,INDIVIDUAL,Silvia,Fernández,,URUGUAY,CI,CI1902398,1948,FEMALE,URUGUAY,Artigas,Artigas,012,2015,ACTIVE,,RETIRED,43687.79,,,,
C0000014,INDIVIDUAL,Federico,Sosa Fernández,,URUGUAY,CI,CI3811018,1980,MALE,URUGUAY,Montevideo,Montevideo,017,2008,ACTIVE,,STUDENT,34487.06,,,,
C0000015,INDIVIDUAL,Martín,Sosa,,URUGUAY,CI,CI4970961,2002,MALE,URUGUAY,Canelones,Atlántida,020,2023,ACTIVE,,EMPLOYED,135290.21,,,,
C0000016,INDIVIDUAL,Mario,López,,URUGUAY,CI,CI3416975,1962,MALE,URUGUAY,Cerro Largo,Melo,002,1994,ACTIVE,,RETIRED,30020.49,,,,
C0000017,INDIVIDUAL,Ana,Rodríguez,,VENEZUELA,CI,CI2930228,1985,FEMALE,URUGUAY,Montevideo,Montevideo,019,2025,ACTIVE,,SELF_EMPLOYED,86348.21,,,,
C0000018,INDIVIDUAL,Claudia,González,,URUGUAY,CI,CI4360690,1981,FEMALE,URUGUAY,Canelones,La Paz,018,2016,ACTIVE,,SELF_EMPLOYED,52837.65,,,,
C0000019,INDIVIDUAL,Mario,Pereira,,URUGUAY,CI,CI3132668,1941,MALE,URUGUAY,Montevideo,Montevideo,025,2021,ACTIVE,,SELF_EMPLOYED,341267.86,,,,
