customer_id,customer_type,first_name,last_name,company_name,nationality,document_type,document_id,birth_year,gender,residence_country,residence_department,residence_locality,primary_branch_id,registration_year,customer_status,closing_year,employment_status,monthly_income,business_sector,company_size,foundation_year,annual_revenue
C0000001,INDIVIDUAL,Noelia,Techera,,URUGUAY,CI,CI4112822,1995,FEMALE,URUGUAY,Flores,Trinidad,033,2025,ACTIVE,,EMPLOYED,115225.67,,,,
C0000002,INDIVIDUAL,Victoria,Olivera,,URUGUAY,CI,CI5707258,2007,FEMALE,URUGUAY,Lavalleja,Minas,017,2026,ACTIVE,,UNEMPLOYED,222359.81,,,,
C0000003,INDIVIDUAL,Ariana,Torres,,VENEZUELA,FOREIGN_ID,FAR82982116,2003,FEMALE,URUGUAY,Salto,Salto,032,2026,ACTIVE,,STUDENT,30863.85,,,,
C0000004,INDIVIDUAL,Valentín,Pereira,,URUGUAY,CI,CI4332749,1999,MALE,URUGUAY,Montevideo,Montevideo,026,2020,ACTIVE,,EMPLOYED,139773.23,,,,
C0000005,INDIVIDUAL,Soledad,Viera,,URUGUAY,CI,CI5224938,2008,FEMALE,URUGUAY,Montevideo,Montevideo,019,2026,ACTIVE,,EMPLOYED,47849.37,,,,
C0000006,INDIVIDUAL,Lorena,Álvarez,,URUGUAY,CI,CI5208470,1980,FEMALE,URUGUAY,Canelones,Las Piedras,023,2011,ACTIVE,,EMPLOYED,139175.93,,,,
C0000007,BUSINESS,,,Estudio Martínez Ltda.,,RUT,RUT21351823303,,,URUGUAY,Montevideo,Montevideo,003,2024,ACTIVE,,,,PROFESSIONAL_SERVICES,SMALL,1998,15102390.03
C0000008,INDIVIDUAL,Bianca,Barrios,,URUGUAY,CI,CI4705778,2008,FEMALE,URUGUAY,Salto,Salto,032,2026,ACTIVE,,UNEMPLOYED,18792.02,,,,
C0000009,INDIVIDUAL,Verónica,Pereira Álvarez,,URUGUAY,CI,CI5029095,1992,FEMALE,URUGUAY,Canelones,Las Piedras,023,2024,ACTIVE,,EMPLOYED,109725.02,,,,
C0000010,BUSINESS,,,Parador del Plata,,RUT,RUT43265612962,,,URUGUAY,Canelones,Atlántida,018,2024,ACTIVE,,,,TOURISM_HOSPITALITY,MICRO,1990,2196670.33
C0000011,INDIVIDUAL,Facundo,Álvarez,,URUGUAY,CI,CI5568915,1993,MALE,URUGUAY,Montevideo,Montevideo,023,2012,ACTIVE,,UNEMPLOYED,31939.92,,,,
C0000012,BUSINESS,,,Distribuidora Olivera,,RUT,RUT81052692456,,,URUGUAY,Montevideo,Montevideo,019,2024,ACTIVE,,,,COMMERCE,MICRO,2015,14745796.68
C0000013,INDIVIDUAL,Gonzalo,López Machado,,URUGUAY,CI,CI5833756,2001,MALE,URUGUAY,Montevideo,Montevideo,017,2025,ACTIVE,,EMPLOYED,76209.65,,,,
C0000014,INDIVIDUAL,María Laura,Acosta García,,ARGENTINA,PASSPORT,PZX2147685,1986,FEMALE,URUGUAY,Colonia,Colonia del Sacramento,027,2020,ACTIVE,,EMPLOYED,46008.08,,,,
C0000015,INDIVIDUAL,Gabriela,Pérez,,URUGUAY,CI,CI4654376,1966,FEMALE,URUGUAY,Montevideo,Montevideo,005,1996,CLOSED,2008,EMPLOYED,78422.35,,,,
C0000016,INDIVIDUAL,Natalia,Fernández,,URUGUAY,CI,CI5265697,1995,FEMALE,URUGUAY,Artigas,Bella Unión,036,2023,ACTIVE,,EMPLOYED,88263.53,,,,
C0000017,INDIVIDUAL,Marcelo,Pereira,,URUGUAY,CI,CI5446556,1992,MALE,URUGUAY,Cerro Largo,Río Branco,010,2026,ACTIVE,,UNEMPLOYED,24517.93,,,,
C0000018,INDIVIDUAL,Santiago,Gómez,,URUGUAY,CI,CI3678287,1980,MALE,OTHER,,,009,2026,ACTIVE,,SELF_EMPLOYED,84723.41,,,,
C0000019,INDIVIDUAL,Daniela,Rodríguez,,URUGUAY,CI,CI4445188,1977,FEMALE,URUGUAY,Lavalleja,Minas,012,2009,CLOSED,2016,EMPLOYED,62231.0,,,,
C0000020,INDIVIDUAL,Paula,Barrios,,URUGUAY,CI,CI2673780,1980,FEMALE,URUGUAY,Maldonado,San Carlos,007,2004,ACTIVE,,EMPLOYED,52313.95,,,,
C0000021,INDIVIDUAL,Salvador,Cardozo,,URUGUAY,CI,CI3996409,1995,MALE,URUGUAY,Maldonado,Maldonado,013,2013,ACTIVE,,EMPLOYED,41194.11,,,,
C0000022,INDIVIDUAL,Manuela,Fernández,,URUGUAY,CI,CI5255379,1991,FEMALE,URUGUAY,Maldonado,Maldonado,013,2015,ACTIVE,,SELF_EMPLOYED,423030.97,,,,
C0000023,INDIVIDUAL,Julio,Barrios,,URUGUAY,CI,CI4505398,1971,MALE,ARGENTINA,,,017,2024,ACTIVE,,SELF_EMPLOYED,85405.59,,,,
C0000024,INDIVIDUAL,Camila,Fernández,,URUGUAY,CI,CI3567926,1982,FEMALE,URUGUAY,Montevideo,Montevideo,020,2008,CLOSED,2018,EMPLOYED,62588.33,,,,
C0000025,INDIVIDUAL,Natalia,Sosa,,URUGUAY,CI,CI2719039,1935,FEMALE,URUGUAY,Montevideo,Montevideo,017,2010,CLOSED,2020,RETIRED,56372.61,,,,
C0000026,INDIVIDUAL,Martina,Álvarez,,URUGUAY,CI,CI3261646,1991,FEMALE,URUGUAY,Colonia,Colonia del Sacramento,019,2009,CLOSED,2025,SELF_EMPLOYED,125586.66,,,,
C0000027,INDIVIDUAL,Lorena,Viera,,URUGUAY,CI,CI5293047,1979,FEMALE,URUGUAY,San José,San José de Mayo,018,2006,CLOSED,2012,EMPLOYED,88803.02,,,,
C0000028,INDIVIDUAL,Olivia,Suárez,,URUGUAY,CI,CI5745202,2006,FEMALE,URUGUAY,Soriano,Cardona,031,2024,ACTIVE,,EMPLOYED,12944.67,,,,
C0000029,INDIVIDUAL,Antonella,Ramos Rodríguez,,URUGUAY,CI,CI5619482,2000,FEMALE,URUGUAY,Canelones,Las Piedras,023,2026,ACTIVE,,UNEMPLOYED,18934.48,,,,
C0000030,INDIVIDUAL,Raúl,Machado,,URUGUAY,CI,CI4451290,1968,MALE,URUGUAY,Colonia,Colonia del Sacramento,018,2009,CLOSED,2014,EMPLOYED,128806.59,,,,
C0000031,INDIVIDUAL,Camila,Álvarez,,URUGUAY,CI,CI4907461,2000,FEMALE,URUGUAY,San José,San José de Mayo,030,2022,ACTIVE,,SELF_EMPLOYED,69152.58,,,,
C0000032,INDIVIDUAL,Agustina,Martínez,,URUGUAY,CI,CI5051156,1983,FEMALE,URUGUAY,Montevideo,Montevideo,019,2007,CLOSED,2018,EMPLOYED,31506.81,,,,
C0000033,INDIVIDUAL,Daniel,Rodríguez Cabrera,,URUGUAY,CI,CI4813665,1996,MALE,URUGUAY,Colonia,Colonia del Sacramento,027,2014,ACTIVE,,EMPLOYED,136124.09,,,,
