card_id,customer_id,product_id,linked_account_id,issue_year,card_status,closing_year,issue_channel
K0000001,C0000001,P009,A0000001,2013,ACTIVE,,BRANCH
K0000002,C0000001,P009,A0000002,2014,CLOSED,2018,BRANCH
K0000003,C0000001,P009,A0000004,2017,CLOSED,2021,BRANCH
K0000004,C0000003,P009,A0000008,2019,CLOSED,2024,BRANCH
K0000005,C0000004,P009,A0000009,2013,ACTIVE,,REMOTE_ASSISTED
K0000006,C0000004,P009,A0000010,2010,CLOSED,2012,REMOTE_ASSISTED
K0000007,C0000005,P009,A0000012,2016,CLOSED,2018,REMOTE_ASSISTED
K0000008,C0000006,P009,A0000014,2019,CLOSED,2023,REMOTE_ASSISTED
K0000009,C0000006,P009,A0000015,2019,CLOSED,2020,DIGITAL
K0000010,C0000007,P009,A0000018,2020,CLOSED,2024,BRANCH
K0000011,C0000007,P009,A0000020,2018,ACTIVE,,BRANCH
K0000012,C0000009,P009,A0000026,2020,ACTIVE,,DIGITAL
K0000013,C0000010,P009,A0000029,2018,CLOSED,2025,BRANCH
K0000014,C0000023,P009,A0000045,2004,CLOSED,2013,BRANCH
K0000015,C0000023,P009,A0000046,2008,CLOSED,2013,BRANCH
K0000016,C0000023,P009,A0000047,2005,CLOSED,2006,BRANCH
K0000017,C0000023,P009,A0000048,2006,CLOSED,2007,BRANCH
K0000018,C0000024,P009,A0000049,2003,CLOSED,2003,BRANCH
K0000019,C0000024,P009,A0000050,2006,CLOSED,2006,BRANCH
K0000020,C0000024,P009,A0000051,2006,CLOSED,2007,BRANCH
K0000021,C0000024,P009,A0000052,2003,CLOSED,2005,BRANCH
K0000022,C0000026,P009,A0000053,2011,CLOSED,2011,BRANCH
K0000023,C0000027,P009,A0000054,2008,CLOSED,2019,BRANCH
K0000024,C0000028,P009,A0000055,2011,CLOSED,2017,BRANCH
K0000025,C0000029,P009,A0000056,2016,CLOSED,2019,BRANCH
K0000026,C0000030,P009,A0000059,2013,CLOSED,2014,BRANCH
K0000027,C0000030,P009,A0000060,2017,ACTIVE,,REMOTE_ASSISTED
K0000028,C0000030,P009,A0000061,2015,CLOSED,2024,BRANCH
K0000029,C0000030,P009,A0000062,2017,CLOSED,2021,BRANCH
K0000030,C0000031,P009,A0000063,2005,CLOSED,2013,BRANCH
K0000031,C0000031,P009,A0000064,2010,ACTIVE,,BRANCH
K0000032,C0000033,P009,A0000067,2017,CLOSED,2019,BRANCH
K0000033,C0000037,P009,A0000071,2020,ACTIVE,,BRANCH
