customer_id,customer_type,first_name,last_name,company_name,nationality,document_type,document_id,birth_year,gender,residence_country,residence_department,residence_locality,primary_branch_id,registration_year,customer_status,closing_year,employment_status,monthly_income,business_sector,company_size,foundation_year,annual_revenue
C0000001,BUSINESS,,,Transportes Moreira,,RUT,RUT58034023194,,,URUGUAY,Soriano,Mercedes,017,2010,ACTIVE,,,,TRANSPORT_LOGISTICS,MICRO,2010,5583727.87
C0000002,INDIVIDUAL,Agustina,Techera,,URUGUAY,CI,CI3580132,2001,FEMALE,USA,,,023,2021,ACTIVE,,EMPLOYED,61209.88,,,,
C0000003,INDIVIDUAL,Mirta,Olivera,,URUGUAY,CI,CI1946525,1964,FEMALE,URUGUAY,Treinta y Tres,Treinta y Tres,001,2016,CLOSED,2024,UNEMPLOYED,21031.38,,,,
C0000004,INDIVIDUAL,Matías,Díaz,,URUGUAY,CI,CI3206146,1983,MALE,URUGUAY,Tacuarembó,Curtina,009,2004,ACTIVE,,EMPLOYED,37867.43,,,,
C0000005,INDIVIDUAL,Maya,Martins,,OTHER,PASSPORT,PSY3929016,1995,FEMALE,URUGUAY,Maldonado,Piriápolis,014,2015,ACTIVE,,SELF_EMPLOYED,166330.74,,,,
C0000006,INDIVIDUAL,Laura,Pereira,,URUGUAY,CI,CI3850800,1980,FEMALE,URUGUAY,Montevideo,Montevideo,017,2017,ACTIVE,,UNEMPLOYED,23538.63,,,,
C0000007,INDIVIDUAL,Mabel,García,,URUGUAY,CI,CI5154395,1988,FEMALE,URUGUAY,Lavalleja,Minas,019,2017,ACTIVE,,SELF_EMPLOYED,174917.51,,,,
C0000008,INDIVIDUAL,Verónica,Sosa,,URUGUAY,CI,CI2865019,1977,FEMALE,URUGUAY,Artigas,Artigas,023,2026,ACTIVE,,OTHER,10869.04,,,,
C0000009,INDIVIDUAL,Cecilia,Suárez,,URUGUAY,CI,CI3661197,1992,FEMALE,URUGUAY,Montevideo,Montevideo,020,2020,ACTIVE,,OTHER,85699.03,,,,
C0000010,INDIVIDUAL,Héctor,Rodríguez,,URUGUAY,CI,CI1711372,1947,MALE,URUGUAY,Tacuarembó,Tacuarembó,024,2017,ACTIVE,,RETIRED,60921.71,,,,
C0000011,INDIVIDUAL,Ignacio,Cardozo López,,URUGUAY,CI,CI4680226,2007,MALE,URUGUAY,Montevideo,Montevideo,037,2025,ACTIVE,,EMPLOYED,94631.83,,,,
C0000012,INDIVIDUAL,Dante,Cardozo,,URUGUAY,CI,CI5247989,1997,MALE,URUGUAY,Canelones,Las Piedras,023,2026,ACTIVE,,STUDENT,26723.83,,,,
C0000013,INDIVIDUAL,Martina,Fernández,,URUGUAY,CI,CI3830492,1991,FEMALE,URUGUAY,Rivera,Rivera,022,2024,ACTIVE,,EMPLOYED,148137.79,,,,
C0000014,INDIVIDUAL,Rosa,Méndez,,URUGUAY,CI,CI4559905,1963,FEMALE,URUGUAY,Maldonado,Maldonado,031,2026,ACTIVE,,RETIRED,36202.6,,,,
C0000015,BUSINESS,,,Establecimiento Gómez,,RUT,RUT42787860955,,,URUGUAY,Canelones,Atlántida,020,2019,CLOSED,2025,,,AGRICULTURE,MICRO,2012,10759587.77
C0000016,INDIVIDUAL,Sandra,Rodríguez,,VENEZUELA,FOREIGN_ID,FOG55364295,1985,FEMALE,URUGUAY,Rocha,Rocha,008,2020,CLOSED,2025,SELF_EMPLOYED,88471.71,,,,
C0000017,INDIVIDUAL,Valentín,Pereira,,URUGUAY,CI,CI5112519,2001,MALE,URUGUAY,Treinta y Tres,Rincón,002,2026,ACTIVE,,EMPLOYED,61063.56,,,,
C0000018,BUSINESS,,,Constructora Uruguay,,RUT,RUT15583884858,,,URUGUAY,Rivera,Rivera,022,2021,ACTIVE,,,,CONSTRUCTION,MICRO,2021,5144167.24
C0000019,BUSINESS,,,Distribuidora del Plata,,RUT,RUT98583168268,,,URUGUAY,Paysandú,Paysandú,034,2021,ACTIVE,,,,COMMERCE,MICRO,2006,17244580.69
C0000020,INDIVIDUAL,Mónica,Olivera,,URUGUAY,CI,CI4081489,1968,FEMALE,URUGUAY,Canelones,La Paz,028,2018,ACTIVE,,SELF_EMPLOYED,105954.28,,,,
C0000021,BUSINESS,,,Consultora Uruguay,,RUT,RUT40762527565,,,URUGUAY,Lavalleja,Minas,012,2021,ACTIVE,,,,PROFESSIONAL_SERVICES,MEDIUM,2009,199833947.15
C0000022,BUSINESS,,,Grupo Carvalho,,RUT,RUT36298708364,,,URUGUAY,Montevideo,Montevideo,025,2023,ACTIVE,,,,OTHER_SERVICES,MICRO,2022,1725704.1
C0000023,INDIVIDUAL,Beatriz,Olivera,,URUGUAY,CI,CI4691562,1980,FEMALE,URUGUAY,Montevideo,Montevideo,007,2000,CLOSED,2020,UNEMPLOYED,37277.07,,,,
C0000024,INDIVIDUAL,Liliana,García,,URUGUAY,CI,CI1545266,1965,FEMALE,URUGUAY,Montevideo,Montevideo,005,1997,CLOSED,2008,EMPLOYED,79263.36,,,,
C0000025,INDIVIDUAL,Leonardo,Romero,,VENEZUELA,FOREIGN_ID,FAR92569945,1987,MALE,URUGUAY,Montevideo,Montevideo,017,2018,ACTIVE,,EMPLOYED,44123.35,,,,
C0000026,INDIVIDUAL,Gustavo,Fernandes,,BRAZIL,CI,CI2579364,1991,MALE,URUGUAY,Montevideo,Montevideo,017,2010,CLOSED,2013,EMPLOYED,49002.0,,,,
C0000027,INDIVIDUAL,Alfredo,Pereira,,URUGUAY,CI,CI4386711,1979,MALE,URUGUAY,Montevideo,Montevideo,002,2003,CLOSED,2023,EMPLOYED,46452.03,,,,
C0000028,INDIVIDUAL,Paulo,Fernandes Martins,,BRAZIL,PASSPORT,PJQ3514892,1976,MALE,URUGUAY,Montevideo,Montevideo,019,2010,ACTIVE,,EMPLOYED,86907.87,,,,
C0000029,INDIVIDUAL,Norma,Castro,,URUGUAY,CI,CI3578478,1966,FEMALE,URUGUAY,Montevideo,Montevideo,019,2012,ACTIVE,,EMPLOYED,73047.02,,,,
